epoch,phase,loss,accuracy,f1
1,train,0.911348,0.682366,0.681457
1,val,0.649892,0.848214,0.848818
2,train,0.783979,0.771875,0.770763
2,val,0.604061,0.880357,0.878665
3,train,0.750905,0.78817,0.787489
3,val,0.583945,0.889286,0.888579
4,train,0.739293,0.790179,0.789096
4,val,0.577907,0.891071,0.889833
5,train,0.717027,0.804018,0.803574
5,val,0.575761,0.89375,0.892884
6,train,0.709035,0.8125,0.811787
6,val,0.56846,0.896429,0.895392
7,train,0.716007,0.812946,0.812279
7,val,0.559407,0.90625,0.905581
8,train,0.711855,0.813839,0.813448
8,val,0.557532,0.907143,0.906579
9,train,0.688154,0.825893,0.825203
9,val,0.553725,0.904464,0.903517
10,train,0.698153,0.816964,0.816554
10,val,0.553515,0.902679,0.902589
11,train,0.694693,0.825893,0.824982
11,val,0.550437,0.904464,0.904034
12,train,0.693887,0.81942,0.81903
12,val,0.546516,0.907143,0.907088
13,train,0.685992,0.827232,0.827069
13,val,0.54646,0.904464,0.903868
14,train,0.685904,0.828348,0.82769
14,val,0.544167,0.907143,0.906746
15,train,0.691544,0.822545,0.821863
15,val,0.541249,0.908929,0.908766
16,train,0.678786,0.831473,0.830794
16,val,0.53944,0.908929,0.909079
17,train,0.682276,0.828795,0.8286
17,val,0.542772,0.905357,0.904838
18,train,0.683569,0.820536,0.819773
18,val,0.541648,0.910714,0.910415
19,train,0.685811,0.827902,0.827736
19,val,0.539418,0.9125,0.912286
20,train,0.683116,0.829464,0.82886
20,val,0.542773,0.90625,0.90569
21,train,0.673027,0.833929,0.83305
21,val,0.525318,0.916964,0.916729
22,train,0.657746,0.84442,0.844028
22,val,0.5157,0.923214,0.922994
23,train,0.635162,0.85692,0.856689
23,val,0.503055,0.932143,0.931916
24,train,0.629947,0.860045,0.859349
24,val,0.495865,0.93125,0.931193
25,train,0.617441,0.865179,0.864832
25,val,0.485299,0.94375,0.943662
26,train,0.612636,0.86875,0.86844
26,val,0.479925,0.947321,0.947266
27,train,0.600791,0.87567,0.875517
27,val,0.475712,0.954464,0.954484
28,train,0.606102,0.875,0.874671
28,val,0.47597,0.952679,0.952635
29,train,0.59623,0.876563,0.876353
29,val,0.472464,0.953571,0.95352
30,train,0.597867,0.877902,0.877642
30,val,0.47186,0.955357,0.955421
